Additive Trade Name,Additive wt%,HTMECH UTS (No Heat),HTMECH Elong (No Heat),HTMECH UTS (1d),HTMECH Elong (1d),Heat Stability UTS (165C-1day) % ,Heat Stability Elong (165C-1day) %
None,0,8.2,4.2,0,0,0,0
Irganox 1010,0.1,6.9,3.2,8.4,0.0123,121.74,0.38
Irganox 1010,0.5,7.5,4,6.6,2.7,88,67.5
Irganox 1010,1,6.17,2.4,6.35,2.37,102.92,98.75
Irganox 1010,2,6.72,2.9,6.42,3.79,95.54,130.69
Irganox 1010,5,7.3,4.1,7.08,5.3,96.99,129.27
Irganox 1076,0.1,5.98,3.42,5.35,0.013,89.46,0.38
Irganox 1076,0.5,5.12,3.27,11.33,0.07,221.29,2.14
Irganox 1076,1,5.97,3.12,6.5,2.1,108.88,67.31
Irganox 1076,2,6.2,4,6.1,3.52,98.39,88
Irganox 1076,5,5.9,3.85,6.15,2.77,104.24,71.95
